Title,Genre,Release_Year,IMDB_Rating
The Shawshank Redemption,Drama,1994,9.3
The Godfather,Drama,1972,9.2
The Dark Knight,Action,2008,9
The Godfather Part II,Drama,1974,9
12 Angry Men,Drama,1957,8.9
